What is your primary means of transportation to and from the U. Washington?,"On average, how many minutes does it take you to get to the U. Washington from your home?","In an average week, how many days are you on the UW campus?",How often do you… [use the light rail or bus?],How often do you… [go to downtown Seattle?],How often do you… [use a mobile phone while walking?],How often do you… [travel on a road that requires a toll?],How often do you… [use a Lime Bike/Uber e-bike?],"On average, how many days in a week (out of 7 days) do you use Uber/Lyft or other ride hailing apps?",What is your primary reason for using an Uber/Lyft?,"In the past 7 days, how many rides did you hail using an Uber/Lyft app? ","In the past 7 days, how much did you spend on Uber/Lyft or other ride hailing apps (in US dollars)?",How often do you: [share an Uber/Lyft ride with someone you did not know],How often do you: [work or do homework in an Uber/Lyft],How often do you: [observe the Uber/Lyft driver talk on their cell phone while driving],How often do you: [observe the Uber/Lyft driver violating a traffic law],How often do you: [rate the Uber/Lyft driver],"On average, how many days in a week (out of 7 days) do you drive?",Please rate how often you do the following activities. [Speed up at a yellow traffic light],Please rate how often you do the following activities. [Honk at the vehicle in front],Please rate how often you do the following activities. [Drive 5 miles over the posted speed],Please rate how often you do the following activities. [Drive 10 miles over the posted speed],Please rate how often you do the following activities. [Check your phone while driving],Please rate how often you do the following activities. [Use your phone when stopped at an intersection],Please rate how often you do the following activities. [Interact with in-vehicle entertainment systems while driving],Please indicate how much you agree or disagree with the following statements. [My driving skills are better than the average person],Please indicate how much you agree or disagree with the following statements. [Bicyclists should not be riding in the same lanes as cars],Please indicate how much you agree or disagree with the following statements. [Driving next to large trucks is stressful],"In the past 5 years, how many times have you been involved in a car crash? ","In the past 5 years, how many times have you received a ticket for a moving violation? ",Please indicate how much you agree or disagree with the following statements. [I choose my mode of transport based on weather],Please indicate how much you agree or disagree with the following statements. [I am often frustrated with Seattle traffic],Please indicate how much you agree or disagree with the following statements. [Autonomous (driverless) cars will be safer than human operated cars],Please indicate how much you agree or disagree with the following statements. [Pedestrians should not look at their mobile phones while walking],Please indicate how much you agree or disagree with the following statements. [Bicyclists in Seattle are too aggressive],Please indicate how much you agree or disagree with the following statements. [Seattle public transportation is reliable],Please indicate how much you agree or disagree with the following statements. [I think the UW provides a quality education],How often... [does traffic impact the time you arrive at work/school],How often... [does the traffic impact the time you leave work/school],"How often... [do you properly sort waste into trash, recyclables and compost]",Are you:,Are you:,How old are you?,Do you rent or own your current living space?,What navigation app do you use most often?,Do you live with a significant other or other family members?,How many people live in your household?,How many children under 6 years old live in your household?,How many vehicles are in your household?  ,Do you have a US driver's license?,How old were you when you got your driver's license?,Are you a:,Do you plan to vote in the next presidential election? 
Bus,30,3-4 days,Always,Often,Always,Sometimes,Never,6,Convenience,10,70,Always,Never,Always,Often,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Often,Never,Always,Student,Female,31,Rent,Google Maps,Yes,2,0,0,Yes,18,Other non-US citizen status,
Bus,20,Every weekday (M-F),Often,Sometimes,Sometimes,Never,Rarely,1,Do not want to drive when intoxicated,2,25,Sometimes,Rarely,Rarely,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Rarely,Often,Student,Male,25,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,45,Every weekday (M-F),Always,Rarely,Often,Sometimes,Never,0,,,,,,,,,6,Often,Rarely,Always,Always,Often,Often,Often,Somewhat agree,Somewhat agree,Strongly agree,0,0,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Always,Sometimes,Sometimes,Student,Female,18,"Neither, I live with others who pay",Google Maps,Yes,5,0,1,Yes,17,US Citizen,Yes
Car to ferry then ferry to bus to light rail,90,3-4 days,Sometimes,Sometimes,Sometimes,Sometimes,Never,0,,,,,,,,,4,Sometimes,Often,Often,Often,Rarely,Sometimes,Never,Strongly disagree,Somewhat agree,Strongly agree,0,0,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Sometimes,Rarely,Often,Student,Female,23,Rent,Google Maps,Yes,3,0,4,Yes,16,US Citizen,Yes
Walk,15,Every weekday (M-F),Often,Sometimes,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,,Sometimes,Sometimes,,Student,Male,,Rent,Google Maps,No,,,,No,,,
Walk,15,"Every day, including weekends",Sometimes,Often,Sometimes,Rarely,Never,0,,,,,,,,,1,Never,Never,Never,Never,Rarely,Rarely,Never,Somewhat agree,Strongly agree,Strongly agree,1,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Rarely,Rarely,Often,Student,Male,25,Own,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Bus,30,1-2 days,Often,Sometimes,Sometimes,Sometimes,Rarely,0,,,,,,,,,4,Sometimes,Sometimes,Always,Often,Never,Sometimes,Often,Somewhat agree,Strongly disagree,Somewhat disagree,1,1,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Rarely,Rarely,Never,Student,Male,22,Rent,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Bus,25,1-2 days,Often,Sometimes,Sometimes,Sometimes,Never,0,,,,,,,,,3,Sometimes,Sometimes,Always,Often,Sometimes,Sometimes,Never,Strongly agree,Neither agree nor disagree,Somewhat disagree,1,0,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Rarely,Never,Sometimes,Student,Male,28,Rent,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Walk,5,Every weekday (M-F),Rarely,Sometimes,Often,Sometimes,Never,1,Do not want to drive when intoxicated,1,20,Sometimes,Never,Often,Never,Sometimes,2,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,1,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Rarely,Always,Student,Female,23,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Bike,15,Every weekday (M-F),Sometimes,Sometimes,Often,Never,Never,1,Convenience,2,40,Sometimes,Never,Sometimes,Never,Rarely,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Never,Never,Often,Student,Male,20,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,20,"Every day, including weekends",Always,Rarely,Often,Rarely,Never,0,,,,,,,,,3,Often,Often,Always,Often,Rarely,Sometimes,Always,Strongly agree,Somewhat disagree,Somewhat agree,0,0,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Often,Rarely,Often,Student,Male,21,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,15,Every weekday (M-F),Often,Often,Sometimes,Never,Never,1,Convenience,1,10,Always,Never,Rarely,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Never,Never,Always,Student,Female,21,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Light rail,90,Every weekday (M-F),Always,Rarely,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Female,18,"Neither, I live with others who pay",Google Maps,Yes,5,0,3,No,,US Citizen,Have not decided
Drive,15,"Every day, including weekends",Sometimes,Sometimes,Rarely,Sometimes,Never,0,,,,,,,,,6,Sometimes,Never,Often,Rarely,Rarely,Sometimes,Never,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Rarely,Rarely,Always,Faculty/Staff,Female,,Own,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Walk,7,"Every day, including weekends",Often,Sometimes,Sometimes,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Rarely,Rarely,Often,Student,Male,19,Rent,Apple Maps,No,,,,Yes,17,US Citizen,Yes
Walk,1,"Every day, including weekends",Often,Sometimes,Often,Sometimes,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Rarely,Often,Always,Student,Female,18,Rent,Apple Maps,No,,,,Yes,16,US Citizen,Have not decided
Walk,10,"Every day, including weekends",Always,Sometimes,Often,Sometimes,Sometimes,1,Convenience,0,0,Sometimes,Never,Sometimes,Sometimes,Never,0,,,,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Always,Always,Sometimes,Student,Female,,Rent,Google Maps,Prefer not to say,,,,Yes,20,,Have not decided
Walk,13,Every weekday (M-F),Always,Sometimes,Always,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Sometimes,Often,Always,Student,Female,21,Rent,Google Maps,No,,,,No,,US Citizen,Yes
Walk,0,Every weekday (M-F),Often,Sometimes,Always,Rarely,Sometimes,1,Convenience,0,0,Sometimes,Never,Sometimes,Never,Always,1,Often,Sometimes,Always,Often,Rarely,Often,Often,Somewhat disagree,Somewhat disagree,Strongly agree,1,0,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Rarely,Rarely,Sometimes,Student,Female,19,Rent,Google Maps,No,,,,Yes,16,Dual citizen ,
Walk,15,Every weekday (M-F),Sometimes,Rarely,Rarely,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rarely,Rarely,Often,Student,Male,20,Rent,Google Maps,No,,,,No,,international student,
Walk,10,Every weekday (M-F),Sometimes,Rarely,Always,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Rarely,Rarely,Sometimes,Student,Female,22,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,10,Every weekday (M-F),Sometimes,Rarely,Often,Never,Rarely,1,Convenience,1,10,Rarely,Never,Never,Rarely,Rarely,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Sometimes,Student,Female,20,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,20,Every weekday (M-F),Sometimes,Rarely,Always,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Never,Never,Always,Student,Male,19,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Ferry ,80,Every weekday (M-F),Always,Often,Often,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Often,Student,Male,18,Rent,Apple Maps,No,,,,Yes,16,US Citizen,Yes
Walk,15,Every weekday (M-F),Sometimes,Sometimes,Always,Rarely,Rarely,2,Convenience,2,20,Rarely,Never,Sometimes,Sometimes,Rarely,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Sometimes,Sometimes,Sometimes,Student,Female,,,,,,,,Yes,18,Other non-US citizen status,
Bus,40,Every weekday (M-F),Often,Sometimes,Rarely,Rarely,Never,1,Convenience,2,25,Sometimes,Never,Rarely,Rarely,Always,3,Rarely,Rarely,Sometimes,Rarely,Never,Never,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,0,0,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Always,Often,Student,Female,24,Rent,Google Maps,Yes,2,0,1,Yes,22,Permanent Resident (Green Card Holder),
Walk,15,Every weekday (M-F),Often,Sometimes,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Rarely,Never,Often,Student,Female,19,Rent,Google Maps,No,,,,Yes,17,US Citizen,Yes
Walk,10,Every weekday (M-F),Sometimes,Rarely,Always,Never,Always,1,Convenience,1,5,Always,Never,Sometimes,Rarely,Rarely,0,,,,,,,,,,,,,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Rarely,Rarely,Often,Student,Male,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,10,Every weekday (M-F),Often,Sometimes,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Rarely,Rarely,Often,Faculty/Staff,Male,26,Rent,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Light rail,20,1-2 days,Often,Often,Often,Rarely,Rarely,1,Convenience,0,0,Often,Never,Rarely,Rarely,Always,1,Often,Rarely,Often,Often,Rarely,Often,Always,Neither agree nor disagree,Somewhat agree,Strongly agree,0,0,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Often,Often,Often,Student,Female,26,Rent,Google Maps,Yes,2,0,1,Yes,16,US Citizen,Yes
Car Passenger,10,Every weekday (M-F),Sometimes,Rarely,Sometimes,Rarely,Never,1,Weather-related,1,8,Sometimes,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Male,30,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,20,Every weekday (M-F),Often,Rarely,Often,Sometimes,Rarely,0,,,,,,,,,3,Often,Rarely,Always,Often,Never,Rarely,Rarely,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Often,Often,Always,Student,Female,21,Rent,Waze,Yes,2,0,1,Yes,16,US Citizen,Yes
Bus,30,Every weekday (M-F),Often,Rarely,Sometimes,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Always,Always,Student,Male,29,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Bus,20,1-2 days,Always,Sometimes,Often,Never,Never,0,,,,,,,,,3,Rarely,Rarely,Often,Never,Rarely,Rarely,Sometimes,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Sometimes,Student,Female,25,Rent,Google Maps,No,,,,Yes,20,US Citizen,Yes
Drive,45,Every weekday (M-F),Never,Sometimes,Never,Never,Never,0,,,,,,,,,6,Often,Rarely,Often,Often,Never,Never,Never,Somewhat agree,Neither agree nor disagree,Somewhat disagree,1,0,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Often,Often,Sometimes,Student,Male,22,"Neither, I live with others who pay",Google Maps,Yes,5,0,4,Yes,17,US Citizen,Yes
Bike,15,3-4 days,Often,Always,Often,Rarely,Sometimes,1,Do not want to drive when intoxicated,0,0,Always,Never,Rarely,Never,Always,2,Sometimes,Rarely,Always,Rarely,Never,Never,Always,Neither agree nor disagree,Strongly disagree,Somewhat agree,1,0,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Often,Always,Always,Student,Female,25,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Drive,35,Every weekday (M-F),Never,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,7,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Somewhat agree,Somewhat agree,1,0,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Always,Often,Always,Faculty/Staff,Female,40,Own,Waze,Yes,5,1,2,Yes,18,US Citizen,Yes
Bus,15,Every weekday (M-F),Often,Sometimes,Sometimes,Never,Rarely,1,Convenience,2,9,Sometimes,Never,Never,Rarely,Never,3,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Always,Somewhat agree,Somewhat agree,Somewhat agree,0,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Often,Always,Student,Male,21,Rent,Google Maps,Yes,5,0,1,Yes,17,Other non-US citizen status,
Bus,15,"Every day, including weekends",Rarely,Rarely,Often,Sometimes,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Rarely,Never,Always,Student,Female,21,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,15,3-4 days,Rarely,Rarely,Often,Rarely,Sometimes,2,Do not want to drive when intoxicated,2,12,Never,Never,Never,Never,Always,1,Often,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat agree,Neither agree nor disagree,Somewhat disagree,1,0,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Never,Never,Sometimes,Student,Male,22,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,35,3-4 days,Rarely,Rarely,Always,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Sometimes,Often,Always,Student,Male,31,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Drive,35,Every weekday (M-F),Never,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,6,Sometimes,Sometimes,Often,Sometimes,Never,Sometimes,Sometimes,Neither agree nor disagree,Strongly agree,Somewhat agree,0,0,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Often,Always,Student,Male,19,"Neither, I live with others who pay",Waze,Yes,4,0,3,Yes,16,US Citizen,Yes
Walk,3,Every weekday (M-F),Rarely,Rarely,Often,Rarely,Often,2,Do not want to drive when intoxicated,1,10,Rarely,Never,Never,Never,Often,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Never,Never,Sometimes,Student,Male,21,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,30,Every weekday (M-F),Often,Sometimes,Often,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Sometimes,Rarely,Often,Student,Female,21,Rent,Google Maps,No,,,,Yes,18,US Citizen,Yes
Bus,20,Every weekday (M-F),Often,Sometimes,Always,Sometimes,Never,0,,,,,,,,,2,Sometimes,Never,Often,Often,Never,Rarely,Rarely,Somewhat disagree,Somewhat agree,Somewhat agree,1,1,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Rarely,Never,Student,Female,21,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,15,Every weekday (M-F),Rarely,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,1,Sometimes,Never,Often,Rarely,Never,Rarely,Rarely,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Never,Never,Always,Student,Male,22,Rent,Google Maps,Yes,2,0,1,Yes,17,US Citizen,Yes
Drive,7,Every weekday (M-F),Rarely,Rarely,Often,Rarely,Never,0,,,,,,,,,5,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Somewhat agree,Strongly agree,Strongly agree,1,0,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Rarely,Sometimes,Sometimes,Student,Male,21,Own,Google Maps,No,,,,Yes,18,Permanent Resident (Green Card Holder),
Light rail,35,3-4 days,Often,Sometimes,Often,Sometimes,Rarely,1,Access to neighborhoods without light rail,1,18,Never,Never,Often,Sometimes,Always,1,Sometimes,Rarely,Always,Sometimes,Rarely,Sometimes,Sometimes,Somewhat agree,Somewhat agree,Neither agree nor disagree,0,0,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Rarely,Never,Always,Student,Male,36,Own,Apple Maps,Yes,2,0,2,Yes,15,US Citizen,Yes
Bike,25,Every weekday (M-F),Often,Often,Often,Rarely,Never,1,I need to get somewhere faster than I can using public transportation,1,14.66,Never,Rarely,Sometimes,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Sometimes,Often,Always,Student,Female,32,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,15,Every weekday (M-F),Sometimes,Sometimes,Often,Rarely,Never,1,Convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student,Male,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,25,Every weekday (M-F),Always,Rarely,Often,Rarely,Rarely,0,,,,,,,,,3,Sometimes,Rarely,Often,Sometimes,Sometimes,Often,Sometimes,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Always,Student,Male,23,Rent,Google Maps,Yes,5,0,1,Yes,20,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Sometimes,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Sometimes,Rarely,Always,Student,Male,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,60,Every weekday (M-F),Always,Sometimes,Often,Sometimes,Rarely,0,,,,,,,,,6,Sometimes,Rarely,Often,Rarely,Never,Never,Rarely,Strongly agree,Strongly disagree,Somewhat agree,1,0,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Often,Sometimes,Always,Student,Male,26,Rent,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Bus,25,Every weekday (M-F),Always,Rarely,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Often,Sometimes,Always,Student,Female,22,Rent,Google Maps,Yes,2,0,2,Yes,16,US Citizen,Yes
Walk,20,Every weekday (M-F),Rarely,Rarely,Always,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Often,Student,Male,23,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,25,3-4 days,Sometimes,Sometimes,Often,Rarely,Never,1,Convenience,0,0,Sometimes,Never,Rarely,Never,Sometimes,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Always,Student,Male,33,Rent,Google Maps,No,,,,Yes,25,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Sometimes,Always,Rarely,Never,1,I don't drive,0,0,Never,Never,Rarely,Rarely,Sometimes,0,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Male,21,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,15,3-4 days,Sometimes,Sometimes,Sometimes,Rarely,Never,3,Convenience,2,30,Never,Never,Sometimes,Rarely,Often,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Rarely,Often,Student,Female,28,Rent,Apple Maps,Yes,2,0,0,No,,Other non-US citizen status,
Walk,15,"Every day, including weekends",Often,Sometimes,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Never,Sometimes,Often,Student,Female,22,Rent,Google Maps,No,,,,Yes,21,US Citizen,Yes
Walk,10,"Every day, including weekends",Often,Sometimes,Sometimes,Rarely,Sometimes,1,Convenience,1,15,Sometimes,Never,Sometimes,Sometimes,Rarely,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Female,20,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
